person_age,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,male,female,rent,mortage,own,other_ownership,education,medical,venture,personal,debtconsolidation,homeimprovement,loan_status
-0.7237474057971607,0,-0.6456269047692621,-0.732482765923495,-0.6510368369457036,-1.574588576611444,0.5835939351683037,-0.7424335400320372,1.047802277750206,1,0,1,1,0,0,0,0,1,0,0,0,0,0
0.039713957716093,1,0.1341194536728426,-0.4000057469014516,-0.8903772447052795,0.6478654780371661,-1.149355708765195,-0.4828596412955681,-1.1103812116011027,1,1,0,1,0,0,0,0,0,0,0,0,1,0
0.039713957716093,2,-0.5451146729363834,0.0987097816316134,-0.970157380625138,-1.3632617251393102,-0.3406458749295624,1.074583751123247,-0.1142965242081909,1,0,1,1,0,0,0,0,1,0,0,0,0,0
3.094191733528065,3,1.5104110705174432,3.257241462341025,4.055991182325955,-0.000203533144045,2.5476035316262693,1.8533054473326545,-1.3801541477700163,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1.866720878537952,0,-0.3926735471912241,2.5922874242969387,0.3861049300124585,-0.0953006163065052,1.276773792741703,2.057066957449582,0.1139728833193513,0,1,0,1,0,0,0,0,0,1,0,0,0,0
-0.4585606570535047,2,-0.3606337855234176,-0.5662442564124733,-1.2733218971206008,0.7394404470084242,-1.2648856850274286,-0.7424335400320372,0.446001112450322,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0.1184769824258525,2,-0.7570993544458584,-0.4000057469014516,-0.9833997534886444,-0.2256188413809883,0.3935210693303156,0.8150098523867777,-1.1726365045631597,0,1,0,1,0,0,0,0,0,0,0,0,1,1
-0.9568352718231026,1,-0.0337683989870908,-0.732482765923495,-0.3954109973003306,-1.546411663081826,-0.571705827454029,-1.0020074387685065,0.3422422908468936,1,0,1,0,1,0,0,0,0,0,0,1,0,0
-0.6246521953100374,2,-0.3698431919304611,-0.8987212754345167,-0.4116964291861277,0.5351578239186945,0.0010359764352975,-1.0020074387685065,0.6535187556571785,1,1,0,1,0,0,0,0,1,0,0,0,0,0
-0.6246521953100374,2,0.359619059810127,-0.8987212754345167,0.3861049300124585,0.4118838272266164,-0.3406458749295624,-0.7424335400320372,1.421334035522548,1,0,1,0,1,0,0,1,0,0,0,0,0,0
0.7040801107422234,3,-0.7200374131000565,0.4311868006536568,-0.8903772447052795,0.3959201896863203,0.4680639589060704,1.074583751123247,-1.6084235552975588,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1.0362631872552883,2,-0.2409115022318513,0.7636638196757002,-0.8903772447052795,0.1582916054600558,-0.8027657799784954,0.6226870846336032,0.5453940080519556,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1.0362631872552883,2,-0.5501182569971622,1.2623793482087653,0.066984386333024,0.0835731232049205,1.6233637215284036,-0.2232857425590989,-0.5293318106219042,0,0,1,1,0,0,0,1,0,0,0,0,0,1
-0.1263775805404395,2,-0.5589288799062012,0.2649482911426351,-1.0200956554207978,0.6126443361251439,-0.571705827454029,-0.4828596412955681,-1.276395326166588,1,1,0,1,0,0,0,0,0,1,0,0,0,0
